"corpus";"id";"det";"det_lemma";"context";"context_pos";"noun";"noun_lemma";"noun_pos";"Author";"Birthdate";"Date_of_composition";"Filename";"Genre";"Manuscript";"composition_year";"period_simple";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5778";"The";"the";"The wood may be considered as composed of two parts , lignous and parenchymous .";"IP-MAT";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5931";"this";"this";"Dr. Hill gives this name to that circle which 0 *T*-1 surrounds the pith , and *T*-1 separates it from the wood ; although 0 in his opinion it differs greatly from both , and in it's composition *con* has no resemblance to either .";"IP-MAT";"name";"name";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"a";"G";"nama";"Weak";"N-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5948";"the";"the";"from the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6229";"the";"the";"to the wood of trees";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6353";"a";"a";"*T*-1 a tree is ready *ICH*-3 at all times , and in all parts , to shoot out branches";"IP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6376";"the";"the";"in the same manner";"PP";"manner";"manner";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6504";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6634";"a";"a";"of a tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6686";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok6775";"the";"the";"in the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
