"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"18276292";"al";"al";"all";"*T*-3 al þis blisse is";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMKATHE";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18353518";"al";"al";"all";"& al blysse";"blysse";"bliss";"";"1";"KEMPE MARGERY";"M4";"EMO";"CMKEMPE";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m4";"h_m4";"b_me"
"18421022";"mycele";"mycele";"much";"*T*-1 habbe+d mycele blisse , þonne 0 heo gegripe+d þt æs";"blisse";"bliss";"";"1";"";"m1";"Kentish";"cmkentho.m1";"Homilies";"";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18441791";"muchele";"muchele";"much";"to muchele blisse";"blisse";"bliss";"";"1";"X";"MX/1";"WMO";"CMLAMBET";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18446515";"muchele";"muchele";"much";"mid muchele blisse";"blisse";"bliss";"";"1";"X";"MX/1";"WMO";"CMLAMBET";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18464557";"muchlere";"muchlere";"much";"mid muchlere blisse";"blisse";"bliss";"";"1";"X";"MX/1";"WMO";"CMLAMBET";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18469677";"alle";"alle";"all";"þe 0 þet *T*-1 +durh gode iearnunge bi-cum+d to þissan seofænfalden ȝefan of þam halȝan gaste ; he haue+d alle blisse .";"blisse";"bliss";"";"1";"X";"MX/1";"WMO";"CMLAMBET";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18474136";"nane";"nane";"no";"and *con* efter þisse liue nane blisse naf+d mid gode .";"blisse";"bliss";"";"1";"X";"MX/1";"WMO";"CMLAMBET";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18879334";"eche";"eche";"each";"To brukenn eche blisse , | | 0 +Tatt *T*-3 eȝȝwhær upponn haliȝ boc | | Iss þurrh rihht hallf bitacnedd";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18879482";"eche";"eche";"each";"To brukenn eche blisse";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
