"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"blood","l_l3",0,0,0,240,0,123,0,3,0,123,"s",,0.5,0,0,0.0020746887966805,-6.17586727010576,0,0.00403225806451613,-5.50938833662798,0,0.125,-1.94591014905531,0,0.00403225806451613,-5.50938833662798,FALSE,TRUE,TRUE,FALSE,0,363
"book","l_l3",0,0,79,181,30,73,3,5,21,100,"c",,0.5,0,0.43646408839779,0.436813186813187,-0.254105776918177,0.410958904109589,0.412162162162162,-0.355034254481272,0.6,0.583333333333333,0.336472236621213,0.21,0.212871287128713,-1.30770408652667,FALSE,TRUE,TRUE,FALSE,0,254
"brother","l_l3",0,0,36,133,6,12,1,1,5,18,"c",,0.5,0,0.270676691729323,0.272388059701493,-0.982540117415356,0.5,0.5,0,1,0.75,1.09861228866811,0.277777777777778,0.289473684210526,-0.897941593205958,FALSE,TRUE,TRUE,FALSE,0,145
"butter","l_l3",0,0,0,5,0,1,0,0,0,1,"s",,0.5,0,0,0.0833333333333333,-2.39789527279837,0,0.25,-1.09861228866811,,0.5,0,0,0.25,-1.09861228866811,FALSE,TRUE,TRUE,FALSE,0,6
"castle","l_l3",0,0,0,29,2,23,0,0,0,23,"c",,0.5,0,0,0.0166666666666667,-4.07753744390572,0.0869565217391304,0.104166666666667,-2.15176220325946,,0.5,0,0,0.0208333333333333,-3.85014760171006,FALSE,TRUE,TRUE,FALSE,0,52
"cloth","l_l3",0,0,2,23,6,12,0,0,1,14,"s",,0.5,0,0.0869565217391304,0.104166666666667,-2.15176220325946,0.5,0.5,0,,0.5,0,0.0714285714285714,0.1,-2.19722457733622,FALSE,TRUE,TRUE,FALSE,0,35
"country","l_l3",0,0,31,343,32,194,7,23,8,248,"c",,0.5,0,0.0903790087463557,0.0915697674418605,-2.29461692334487,0.164948453608247,0.166666666666667,-1.6094379124341,0.304347826086957,0.3125,-0.78845736036427,0.032258064516129,0.034136546184739,-3.34265392604954,FALSE,TRUE,TRUE,FALSE,0,537
"craft","l_l3",0,0,1,7,1,4,1,2,0,4,"a",,0.5,0,0.142857142857143,0.1875,-1.46633706879343,0.25,0.3,-0.847297860387204,0.5,0.5,0,0,0.1,-2.19722457733622,FALSE,TRUE,TRUE,FALSE,0,11
"creature","l_l3",0,0,14,41,13,19,1,1,5,29,"c",,0.5,0,0.341463414634146,0.345238095238095,-0.640037355245997,0.684210526315789,0.675,0.730887508542793,1,0.75,1.09861228866811,0.172413793103448,0.183333333333333,-1.49392502531226,FALSE,TRUE,TRUE,FALSE,0,60
"daughter","l_l3",0,0,8,60,10,17,0,0,0,17,"c",,0.5,0,0.133333333333333,0.139344262295082,-1.82074700610131,0.588235294117647,0.583333333333333,0.336472236621213,,0.5,0,0,0.0277777777777778,-3.55534806148941,FALSE,TRUE,TRUE,FALSE,0,77
