"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"evil","a_oe",15,43,123,785,0,0,0,0,0,0,"a",0.348837209302326,0.352272727272727,-0.609064063349404,0.156687898089172,0.157124681933842,-1.67977940179235,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,828
"eye","a_oe",0,33,686,1202,0,0,0,0,0,0,"c",0,0.0147058823529412,-4.20469261939097,0.570715474209651,0.570656691604323,0.284530936648333,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1235
"fæt_cup","a_oe",0,0,272,400,0,0,0,0,0,0,"c",,0.5,0,0.68,0.679551122194514,0.751709709768025,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,400
"father","a_oe",2,2,175,2165,0,0,0,0,0,0,"c",1,0.833333333333333,1.6094379124341,0.0808314087759815,0.0810249307479224,-2.42850209953445,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,2167
"feoh_cattle","a_oe",0,0,1,354,0,0,0,0,0,0,"s",,0.5,0,0.00282485875706215,0.00422535211267606,-5.46241837722846,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,354
"fish","a_oe",0,0,96,156,0,0,0,0,0,0,"c",,0.5,0,0.615384615384615,0.614649681528662,0.466899643308144,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,156
"flesh","a_oe",0,0,4,323,0,0,0,0,0,0,"s",,0.5,0,0.0123839009287926,0.0138888888888889,-4.26267987704132,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,323
"folk","a_oe",13,33,116,2346,0,0,0,0,0,0,"c",0.393939393939394,0.397058823529412,-0.417735200699979,0.0494458653026428,0.0496378355347252,-2.95208978156256,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,2379
"gebroþor_brethren","a_oe",0,0,511,511,0,0,0,0,0,0,"c",,0.5,0,1,0.9990234375,6.93049476595163,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,511
"geleafa_belief","a_oe",0,0,2,1289,0,0,0,0,0,0,"a",,0.5,0,0.00155159038013964,0.00193798449612403,-6.24416690066374,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,1289
"gold","a_oe",0,2,1,273,0,0,0,0,0,0,"s",0,0.166666666666667,-1.6094379124341,0.00366300366300366,0.00547445255474453,-5.20217350599513,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,275
"hand","a_oe",0,2,453,1105,0,0,0,0,0,0,"c",0,0.166666666666667,-1.6094379124341,0.409954751131222,0.41003616636528,-0.363815869641657,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1107
"heart","a_oe",0,0,160,808,0,0,0,0,0,0,"c",,0.5,0,0.198019801980198,0.198393077873918,-1.39636806118643,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,808
"heaven","a_oe",0,0,895,1384,0,0,0,0,0,0,"a",,0.5,0,0.646676300578035,0.646570397111913,0.603997759530201,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,1384
"honey","a_oe",0,0,0,302,0,0,0,0,0,0,"s",,0.5,0,0,0.00165016501650165,-6.40522845803084,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,302
"horse","a_oe",1,1,106,271,0,0,0,0,0,0,"c",1,0.75,1.09861228866811,0.391143911439114,0.391544117647059,-0.440826209667638,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,272
"hound","a_oe",0,2,61,143,0,0,0,0,0,0,"c",0,0.166666666666667,-1.6094379124341,0.426573426573427,0.427083333333333,-0.293761118528163,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,145
"house","a_oe",2,3,99,795,0,0,0,0,0,0,"c",0.666666666666667,0.625,0.510825623765991,0.124528301886792,0.125,-1.94591014905531,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,798
"king","a_oe",11,13,315,4579,0,0,0,0,0,0,"c",0.846153846153846,0.821428571428571,1.52605630349505,0.0687923127320376,0.0688864628820961,-2.6039215377779,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,4592
"land","a_oe",9,9,160,2110,0,0,0,0,0,0,"a",1,0.95,2.94443897916644,0.0758293838862559,0.0760303173851255,-2.49754708637664,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,2119
"lift_air","a_oe",0,0,3,107,0,0,0,0,0,0,"s",,0.5,0,0.0280373831775701,0.0324074074074074,-3.3964241029095,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,107
"loaf","a_oe",0,0,123,452,0,0,0,0,0,0,"s",,0.5,0,0.27212389380531,0.272626931567329,-0.98133519787453,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,452
"lore","a_oe",0,2,102,1004,0,0,0,0,0,0,"a",0,0.166666666666667,-1.6094379124341,0.101593625498008,0.101990049751244,-2.17530589162857,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1006
"love","a_oe",0,18,18,851,0,0,0,0,0,0,"a",0,0.0263157894736842,-3.61091791264422,0.0211515863689777,0.0217136150234742,-3.80786297010657,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,869
"man","a_oe",209,210,5311,10066,0,0,0,0,0,0,"c",0.995238095238095,0.992890995260663,4.93925863125403,0.527617723028015,0.527614979636436,0.110572438297628,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,10276
"meat","a_oe",0,0,105,495,0,0,0,0,0,0,"s",,0.5,0,0.212121212121212,0.212701612903226,-1.30871701636362,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,495
"middaneard_world","a_oe",0,0,2,965,0,0,0,0,0,0,"a",,0.5,0,0.00207253886010363,0.0025879917184265,-5.95428175598027,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,965
"might","a_oe",0,12,27,524,0,0,0,0,0,0,"a",0,0.0384615384615385,-3.2188758248682,0.0515267175572519,0.0523809523809524,-2.89540955192612,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,536
"milk","a_oe",0,0,16,124,0,0,0,0,0,0,"s",,0.5,0,0.129032258064516,0.132,-1.88338979207398,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,124
"mood","a_oe",0,4,74,1617,0,0,0,0,0,0,"a",0,0.1,-2.19722457733622,0.0457637600494743,0.046044499381953,-3.0310087185567,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1621
"name","a_oe",2,3,105,1498,0,0,0,0,0,0,"a",0.666666666666667,0.625,0.510825623765991,0.0700934579439252,0.0703802535023349,-2.58086289400588,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1501
"night","a_oe",2,2,249,1069,0,0,0,0,0,0,"a",1,0.833333333333333,1.6094379124341,0.232927970065482,0.233177570093458,-1.19045499533857,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1071
"oil","a_oe",0,0,1,329,0,0,0,0,0,0,"s",,0.5,0,0.00303951367781155,0.00454545454545455,-5.3890717298165,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,329
"rice_power","a_oe",0,0,47,1796,0,0,0,0,0,0,"a",,0.5,0,0.0261692650334076,0.0264329437952142,-3.60635560076715,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,1796
"right","a_oe",0,0,2,422,0,0,0,0,0,0,"a",,0.5,0,0.004739336492891,0.00591016548463357,-5.12515374753885,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,422
"salt","a_oe",0,0,0,133,0,0,0,0,0,0,"s",,0.5,0,0,0.00373134328358209,-5.58724865840025,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,133
