1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
18938354	All	Q	?	'NULL'	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18938353	*ICH*-1 All ifell to forrbu+ghenn	IP	18938355	All ifell	NP	18938356	ifell	N	18938356	ifell	N	18938355	All ifell	NP	18938355	All ifell	NP
18992547	all	Q	?	'NULL'	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18992546	Inn all +tatt ifell 0 +tatt *T*-1 mann do+t | | +Turrh h+a+tenndom & dwilde	PP	18992548	all +tatt ifell 0 +tatt *T*-1 mann do+t | | +Turrh h+a+tenndom & dwilde	NP	18992550	ifell	N	18992550	ifell	N	18992548	all +tatt ifell 0 +tatt *T*-1 mann do+t | | +Turrh h+a+tenndom & dwilde	NP	18992548	all +tatt ifell 0 +tatt *T*-1 mann do+t | | +Turrh h+a+tenndom & dwilde	NP
19147926	manye	Q	PURVEY JOHN	'NULL'	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19147925	do manye yuelis *ICH*-2 to the children of Israel , brenne of her strong citees , and slee bi swerd the +gunge men of hem , and hurle doun the litel children of hem , and kerue wymmen with chijlde	IP	19147927	manye yuelis *ICH*-2	NP	19147928	yuelis	NS	19147928	yuelis	NS	19147927	manye yuelis *ICH*-2	NP	19147927	manye yuelis *ICH*-2	NP
19152703	alle	Q	PURVEY JOHN	'NULL'	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19152697	thin i+gen se not <P_I,20> alle these yuelis , whiche 0 *T*-1 I schal bringe in on this place	IP	19152704	alle these yuelis , whiche 0 *T*-1 I schal bringe in on this place	NP	19152706	yuelis	NS	19152706	yuelis	NS	19152704	alle these yuelis , whiche 0 *T*-1 I schal bringe in on this place	NP	19152704	alle these yuelis , whiche 0 *T*-1 I schal bringe in on this place	NP
19165899	al	Q	PURVEY JOHN	'NULL'	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19165892	and thin i+gen schulen not see al the yuel which 0 *T*-1 Y schal bringe in on this place , and on the dwelleris therof . "	IP-MAT-SPE	19165900	al the yuel which 0 *T*-1 Y schal bringe in on this place , and on the dwelleris therof	NP	19165902	yuel	N	19165902	yuel	N	19165900	al the yuel which 0 *T*-1 Y schal bringe in on this place , and on the dwelleris therof	NP	19165900	al the yuel which 0 *T*-1 Y schal bringe in on this place , and on the dwelleris therof	NP
19186310	alle	Q	PURVEY JOHN	'NULL'	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19186309	of alle yuels	PP	19186311	alle yuels	NP	19186312	yuels	NS	19186312	yuels	NS	19186311	alle yuels	NP	19186311	alle yuels	NP
19232818	noon	Q	REYNES ROBERT	'NULL'	EML	CMREYNES	X	'NULL'	M4	INSTR SEC	WRITTEN	'NULL'	PROSE	19232817	ner noon other wykkyd evyll	CONJP	19232819	noon other wykkyd evyll	NP	19232822	evyll	N	19232822	evyll	N	19232819	noon other wykkyd evyll	NP	19232819	noon other wykkyd evyll	NP
19319265	all	Q	X	'NULL'	SL	CMROYAL	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	19319264	from all evyll	PP	19319266	all evyll	NP	19319267	evyll	N	19319267	evyll	N	19319266	all evyll	NP	19319266	all evyll	NP
19332890	euch	Q	X	'NULL'	WMO	CMSAWLES	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19332889	of euch uuel	PP	19332891	euch uuel	NP	19332892	uuel	N	19332892	uuel	N	19332891	euch uuel	NP	19332891	euch uuel	NP
19335255	euch	Q	X	'NULL'	WMO	CMSAWLES	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19335254	of euch uuel	PP	19335256	euch uuel	NP	19335257	uuel	N	19335257	uuel	N	19335256	euch uuel	NP	19335256	euch uuel	NP
