1_id;1_span;1_span_lemma;1_anno_ptb::pos;2_id;2_span;2_span_lemma;2_anno_ptb::pos;3_id;3_span;3_anno_ptb::cat;meta_Cameron_number;meta_DOE_short_title;meta_Dialect;meta_Edition;meta_Genre;meta_Latin_translation;meta_Manuscript;meta_Manuscript_date;meta_Remarks;meta_Sawyer_number;meta_Word_count;meta_filename;meta_period;meta_text_name;PDE word
salt:/ycoe/cochronE.o34#sTok30618;biscop;bisceop;N;salt:/ycoe/cochronE.o34#sTok30616;eallum;eal;Q^D;salt:/ycoe/cochronE.o34#structure17124;eallum þam biscop rice;NP;B17.9;ChronE;West Saxon/X;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;?;Oxford, Bodleian, Laud Misc. 636;s. xii1, xii med.;Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION;;40,641;cochronE.o34;o34;Anglo-Saxon Chronicle E (Peterborough Chronicle);bishop
salt:/ycoe/cogregdC.o24#sTok10067;biscopes;bisceop;N^G;salt:/ycoe/cogregdC.o24#sTok10066;gehwilces;ge-hwylc;Q^G;salt:/ycoe/cogregdC.o24#structure5831;anra gehwilces biscopes;NP;B9.5.1 - 9.5.6;GD (C);West Saxon/Anglian Mercian;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Cambridge, Corpus Christi College, 322;s. xi2;;;91,553;cogregdC.o24;o24;Gregory's Dialogues;bishop
salt:/ycoe/cogregdC.o24#sTok53693;biscop;bisceop;N^N;salt:/ycoe/cogregdC.o24#sTok53692;sum;sum;Q^N;salt:/ycoe/cogregdC.o24#structure30786;sum biscop *ICH*-1;NP;B9.5.1 - 9.5.6;GD (C);West Saxon/Anglian Mercian;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Cambridge, Corpus Christi College, 322;s. xi2;;;91,553;cogregdC.o24;o24;Gregory's Dialogues;bishop
salt:/ycoe/cogregdC.o24#sTok54953;biscopes;bisceop;N^G;salt:/ycoe/cogregdC.o24#sTok54952;sumes;sum;Q^G;salt:/ycoe/cogregdC.o24#structure31482;sumes biscopes;NP;B9.5.1 - 9.5.6;GD (C);West Saxon/Anglian Mercian;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Cambridge, Corpus Christi College, 322;s. xi2;;;91,553;cogregdC.o24;o24;Gregory's Dialogues;bishop
salt:/ycoe/cogregdC.o24#sTok73222;biscopas;bisceop;N^N;salt:/ycoe/cogregdC.o24#sTok73220;sume;sum;Q^N;salt:/ycoe/cogregdC.o24#structure41718;sume þa biscopas;NP;B9.5.1 - 9.5.6;GD (C);West Saxon/Anglian Mercian;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Cambridge, Corpus Christi College, 322;s. xi2;;;91,553;cogregdC.o24;o24;Gregory's Dialogues;bishop
salt:/ycoe/cogregdC.o24#sTok73591;biscop;bisceop;N^A;salt:/ycoe/cogregdC.o24#sTok73590;sumne;sum;Q^A;salt:/ycoe/cogregdC.o24#structure41935;sumne biscop ealdne witan , se 0 *T*-1 cyðde me , þæt he gesawe heora muðas sprecende butan tungan , & þæt hi cleopodon þus geonigendum muðe;NP;B9.5.1 - 9.5.6;GD (C);West Saxon/Anglian Mercian;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Cambridge, Corpus Christi College, 322;s. xi2;;;91,553;cogregdC.o24;o24;Gregory's Dialogues;bishop
salt:/ycoe/cogregdH.o23#sTok8791;bisceopes;bisceop;N^G;salt:/ycoe/cogregdH.o23#sTok8790;gehwilces;ge-hwylc;Q^G;salt:/ycoe/cogregdH.o23#structure5114;anra gehwilces bisceopes;NP;B9.5.7, - B9.5.10;GD (H);West Saxon;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Oxford, Bodleian, Hatton 76;s. xi1;;;25,593;cogregdH.o23;o23;Gregory's Dialogues;bishop
salt:/ycoe/cogregdH.o23#sTok9346;bisceopes;bisceop;N^G;salt:/ycoe/cogregdH.o23#sTok9345;sumes;sum;Q^G;salt:/ycoe/cogregdH.o23#structure5434;sumes bisceopes mines efenhadan , se 0 *T*-1 on munuchade manega gear lifode on Anchonitana þære byri & *T*-1 þær his eawfæste lif unheanlice adreah;NP;B9.5.7, - B9.5.10;GD (H);West Saxon;"Hecht, Hans. 1965 (1900-1907). ""Bischof W&aelig;rferth von Worcester &Uuml;bersetzung der Dialoge Gregors des Grossen."" Bibliothek der Angelsaechsischen Prosa, V. Darmstadt: Wissenschaftliche Buchgesellschaft.";Biography, lives;Yes;Oxford, Bodleian, Hatton 76;s. xi1;;;25,593;cogregdH.o23;o23;Gregory's Dialogues;bishop
salt:/ycoe/coinspolX#sTok1239;bisceope;bisceop;N^D;salt:/ycoe/coinspolX#sTok1238;æghwylcum;ǽg-hwilc;Q^D;salt:/ycoe/coinspolX#structure745;æghwylcum bisceope;NP;B13.2.1.1;WPol 2.1.1;;"Jost, K. 1959. ""Die 'Institutes of Polity, Civil and Ecclesiastical.'"" ""Swiss Studies in English"" 47. Bern. ";Ecclesiastical laws;No;Oxford, Bodleian, Junius 121;s. xi (3rd quarter);;;4,896;coinspolX;?;Institutes of Polity;bishop
salt:/ycoe/colwsigeXa.o34#sTok201;biscopas;bisceop;N^N;salt:/ycoe/colwsigeXa.o34#sTok202;manege;manig;Q^N;salt:/ycoe/colwsigeXa.o34#structure116;swa mære *ICH*-1 biscopas manege;NP;B1.8.1;ÆLet1 (Wulfsige Xa);West Saxon;"Fehr, B. 1914. ""Die Hirtenbriefe Aelfrics in Altenglischer und Lateinischer Fassung."" Bibliothek der Angelsaechsischen Prosa, IX: 1-34. Hamburg: Verlag von Henri Grand. Reprinted with a supplement by P. Clemoes, Darmstadt 1966.";Religious treatise;No;Cambridge, Corpus Christi College, 190;s. xi med., xi2;;;3,336;colwsigeXa.o34;o34;Ælfric's Letter  to Wulfsige;bishop
